ANO,T1,T2,T3,T4,Total
1999,901.0,1102.0,1373.0,1447.0,4823.0
2000,1527.0,1697.0,2038.0,2044.0,7306.0
2001,1901.0,2105.0,2488.0,2450.0,8944.0
2002,2262.0,2529.0,3013.0,3027.0,10831.0
2003,2851.0,3102.0,3600.0,3655.0,13208.0
2004,3516.0,3972.0,4594.0,4945.0,17027.0
2005,4459.0,5078.0,5845.0,6228.0,21610.0
2006,5793.0,6368.0,7276.0,7480.0,26917.0
2007,6780.0,7768.0,8903.0,9797.0,33248.0
2008,8878.0,10238.0,11542.0,10619.0,41277.0
2009,8335.0,9245.0,10411.0,10816.0,38807.0
2010,9996.0,10977.0,12086.0,13249.0,46308.0
2011,13024.8,14434.8,15745.6,16908.8,60114.0
2012,15182.8,16436.0,17715.8,18768.9,68103.4
2013,16370.0,17507.9,19003.5,20104.3,72985.7
2014,17311.4,19044.2,20544.0,22130.5,79030.0
2015,18467.9,19751.0,21788.6,23079.8,83087.4
2016,18885.1,20452.2,22235.1,24043.6,85616.1
2017,20586.1,21917.6,23718.2,25621.2,91843.2
2018,22474.0,24970.0,27197.0,29221.0,103862.0
2019,24609.0,26629.0,28346.0,30025.0,109608.0
2020,24866.0,23775.4,27786.3,31230.5,107658.1
2021,27854.5,31784.4,35219.5,39869.0,134727.5
2022,37137.7,37406.2,39156.1,43241.0,156940.9
2023,36921.5,40737.9,46199.7,52554.4,176413.6
2024,44133.7,47281.9,50857.1,58879.4,201152.1
