ANO,Consolidado,Federal
1999,1213.6,615.5
2000,2097.7,1132.1
2001,2683.7,1594.0
2002,3519.2,2204.7
2003,4138.7,2586.2
2004,5429.9,3428.9
2005,8579.6,5127.2
2006,10625.8,6278.9
2007,13368.3,7781.1
2008,16169.1,9275.9
2009,13599.7,7337.8
2010,16031.9,8305.4
2011,20855.4,11367.7
2012,23435.1,12855.5
2013,24442.7,13019.9
2014,26766.1,14496.9
2015,26922.0,13659.2
2016,28181.5,13460.0
2017,31046.7,15088.9
2018,37320.3,19454.4
2019,39497.6,20188.8
2020,38205.7,18719.1
2021,48118.4,25286.4
2022,53074.2,27824.4
2023,59073.4,29124.0
2024,70940.9,36708.6
2025,75573.8,37283.6
